gene_name,GO_Term,ensembl_gene_id
Aasdhppt,CARBOXYLIC ACID,ENSMUSG00000025894
Acadvl,MITOCHONDRIA,ENSMUSG00000018574
Acox2,LIPID CATABOLISM,ENSMUSG00000021751
Actn3,MITOCHONDRIA,ENSMUSG00000006457
Adcy1,MITOCHONDRIA,ENSMUSG00000020431
Adcy3,MITOCHONDRIA,ENSMUSG00000020654
Adrb2,APOPTOSIS,ENSMUSG00000045730
Ahr,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000019256
Ak4,MITOCHONDRIA,ENSMUSG00000028527
Aldh1a3,CARBOXYLIC ACID,ENSMUSG00000015134
Ambra1,MITOCHONDRIA,ENSMUSG00000040506
Atp13a2,APOPTOSIS,ENSMUSG00000036622
Atpif1,MITOCHONDRIA,ENSMUSG00000054428
Bag3,MITOCHONDRIA,ENSMUSG00000030847
Bag4,MITOCHONDRIA,ENSMUSG00000037316
Bbc3,APOPTOSIS,ENSMUSG00000002083
Bcl11b,APOPTOSIS,ENSMUSG00000048251
Bcl2,APOPTOSIS,ENSMUSG00000057329
Bcl2l11,APOPTOSIS,ENSMUSG00000027381
Bcl6,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000022508
Blk,APOPTOSIS,ENSMUSG00000014453
Bub1,CELL CYCLE,ENSMUSG00000027379
C9orf72,APOPTOSIS,ENSMUSG00000028300
Card11,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000036526
Ccne1,CELL CYCLE,ENSMUSG00000002068
Ccne2,CELL CYCLE,ENSMUSG00000028212
Cd1d1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000028076
Cd27,APOPTOSIS,ENSMUSG00000030336
Cd274,APOPTOSIS,ENSMUSG00000016496
Cd46,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000016493
Cd55,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000026399
Cd74,APOPTOSIS,ENSMUSG00000024610
Cd80,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000075122
Cd81,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000037706
Cd86,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000022901
Cd8a,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000053977
Chchd4,MITOCHONDRIA,ENSMUSG00000034203
Clec2i,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000030365
Cntd1,CELL CYCLE,ENSMUSG00000078653
Cpt1a,MITOCHONDRIA,ENSMUSG00000024900
Cpt2,LIPID CATABOLISM,ENSMUSG00000028607
Crat,LIPID CATABOLISM,ENSMUSG00000026853
Ctsd,APOPTOSIS,ENSMUSG00000007891
Ctsg,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000040314
Ctsl,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000021477
Cyld,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000036712
Ddit3,APOPTOSIS,ENSMUSG00000025408
Ddit3,APOPTOSIS,ENSMUSG00000116429
Dnm1l,MITOCHONDRIA,ENSMUSG00000022789
Dock2,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000020143
Dusp10,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000039384
Echdc1,LIPID CATABOLISM,ENSMUSG00000019883
Elovl6,CARBOXYLIC ACID,ENSMUSG00000041220
Espl1,CELL CYCLE,ENSMUSG00000058290
Exo1,CELL CYCLE,ENSMUSG00000039748
Ezh2,CELL CYCLE,ENSMUSG00000029687
Fads2,CARBOXYLIC ACID,ENSMUSG00000024665
Fut7,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000036587
Fyco1,APOPTOSIS,ENSMUSG00000025241
Galc,LIPID CATABOLISM,ENSMUSG00000021003
Gdpd1,LIPID CATABOLISM,ENSMUSG00000061666
Gls2,CARBOXYLIC ACID,ENSMUSG00000044005
Gm11127,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000079492
Gm28042,LIPID CATABOLISM,ENSMUSG00000033852
Gpr183,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000051212
Gzmb,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000015437
H2-Aa,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000036594
H2-DMa,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000037649
H2-M3,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000016206
H2-Ob,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000041538
H2-T10,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000079491
Hacd1,CARBOXYLIC ACID,ENSMUSG00000063275
Hacd3,CARBOXYLIC ACID,ENSMUSG00000033629
Hk2,MITOCHONDRIA,ENSMUSG00000000628
Hormad2,CELL CYCLE,ENSMUSG00000020419
