gene_name,GO_Term
Ctsd,APOPTOSIS
Tafazzin,APOPTOSIS
Sqstm1,APOPTOSIS
Tnfaip3,APOPTOSIS
Vps13d,APOPTOSIS
Pacs2,APOPTOSIS
Fyco1,APOPTOSIS
Ddit3,APOPTOSIS
Rptor,APOPTOSIS
Tsc1,APOPTOSIS
Bcl2l11,APOPTOSIS
Trp53inp1,APOPTOSIS
Rragd,APOPTOSIS
C9orf72,APOPTOSIS
Pink1,APOPTOSIS
Rab19,APOPTOSIS
Nupr1,APOPTOSIS
Mtm1,APOPTOSIS
Vps4a,APOPTOSIS
Sesn3,APOPTOSIS
Rubcn,APOPTOSIS
Lrrk2,APOPTOSIS
Atp13a2,APOPTOSIS
Nod1,APOPTOSIS
Sesn1,APOPTOSIS
Tbc1d17,APOPTOSIS
Smurf1,APOPTOSIS
Adrb2,APOPTOSIS
Tpcn2,APOPTOSIS
Iigp1,APOPTOSIS
Bcl2,APOPTOSIS
Lgals8,APOPTOSIS
Trim12a,APOPTOSIS
Bbc3,APOPTOSIS
Blk,APOPTOSIS
Cd274,APOPTOSIS
Cd74,APOPTOSIS
Tnfsf4,APOPTOSIS
Cd27,APOPTOSIS
Tsc22d3,APOPTOSIS
Bcl11b,APOPTOSIS
Lmbr1l,APOPTOSIS
Tspan32,NEGATIVE REGULATION OF T CELL ACTIVATION
Tnfaip8l2,NEGATIVE REGULATION OF T CELL ACTIVATION
Myb,NEGATIVE REGULATION OF T CELL ACTIVATION
Ptcra,NEGATIVE REGULATION OF T CELL ACTIVATION
Perf,NEGATIVE REGULATION OF T CELL ACTIVATION
Ifng,NEGATIVE REGULATION OF T CELL ACTIVATION
Gzmb,NEGATIVE REGULATION OF T CELL ACTIVATION
Cd46,NEGATIVE REGULATION OF T CELL ACTIVATION
Irf1,NEGATIVE REGULATION OF T CELL ACTIVATION
Vsir,NEGATIVE REGULATION OF T CELL ACTIVATION
Peli1,NEGATIVE REGULATION OF T CELL ACTIVATION
Syk,NEGATIVE REGULATION OF T CELL ACTIVATION
Il6st,NEGATIVE REGULATION OF T CELL ACTIVATION
Bcl6,NEGATIVE REGULATION OF T CELL ACTIVATION
Cd86,NEGATIVE REGULATION OF T CELL ACTIVATION
Runx1,NEGATIVE REGULATION OF T CELL ACTIVATION
Smarca2,NEGATIVE REGULATION OF T CELL ACTIVATION
Smad7,NEGATIVE REGULATION OF T CELL ACTIVATION
Cd55,NEGATIVE REGULATION OF T CELL ACTIVATION
Spta1,NEGATIVE REGULATION OF T CELL ACTIVATION
Rasgrp1,NEGATIVE REGULATION OF T CELL ACTIVATION
