"","gene_name","GO_Term","ensembl_gene_id","symbol"
"1","Bcl2l11","APOPTOSIS","ENSMUSG00000027381","Bcl2l11"
"2","Blk","APOPTOSIS","ENSMUSG00000014453","Blk"
"3","Cd274","APOPTOSIS","ENSMUSG00000016496","Cd274"
"4","Ddit3","APOPTOSIS","ENSMUSG00000116429",NA
"5","Ddit3","APOPTOSIS","ENSMUSG00000025408","Ddit3"
"6","Pink1","APOPTOSIS","ENSMUSG00000028756","Pink1"
"7","Sesn3","APOPTOSIS","ENSMUSG00000032009","Sesn3"
"8","Trp53inp1","APOPTOSIS","ENSMUSG00000028211","Trp53inp1"
"9","Aldh1a3","CARBOXYLIC ACID","ENSMUSG00000015134","Aldh1a3"
"10","Elovl6","CARBOXYLIC ACID","ENSMUSG00000041220","Elovl6"
"11","Fads2","CARBOXYLIC ACID","ENSMUSG00000024665","Fads2"
"12","Ptges3","CARBOXYLIC ACID","ENSMUSG00000071072","Ptges3"
"13","Sirt1","CARBOXYLIC ACID","ENSMUSG00000020063","Sirt1"
"14","Ccne1","CELL CYCLE","ENSMUSG00000002068","Ccne1"
"15","Ccne2","CELL CYCLE","ENSMUSG00000028212","Ccne2"
"16","Cntd1","CELL CYCLE","ENSMUSG00000078653","Cntd1"
"17","Ezh2","CELL CYCLE","ENSMUSG00000029687","Ezh2"
"18","Mns1","CELL CYCLE","ENSMUSG00000032221","Mns1"
"19","Pola1","CELL CYCLE","ENSMUSG00000006678","Pola1"
"20","Pola2","CELL CYCLE","ENSMUSG00000024833","Pola2"
"21","Rbbp8","CELL CYCLE","ENSMUSG00000041238","Rbbp8"
"22","Rfc1","CELL CYCLE","ENSMUSG00000029191","Rfc1"
"23","Rfc3","CELL CYCLE","ENSMUSG00000033970","Rfc3"
"24","Rfc4","CELL CYCLE","ENSMUSG00000022881","Rfc4"
"25","Suv39h2","CELL CYCLE","ENSMUSG00000026646","Suv39h2"
"26","Ttk","CELL CYCLE","ENSMUSG00000038379","Ttk"
"27","Acox2","LIPID CATABOLISM","ENSMUSG00000021751","Acox2"
"28","Cpt2","LIPID CATABOLISM","ENSMUSG00000028607","Cpt2"
"29","Galc","LIPID CATABOLISM","ENSMUSG00000021003","Galc"
"30","Lipg","LIPID CATABOLISM","ENSMUSG00000053846","Lipg"
"31","Pik3cg","LIPID CATABOLISM","ENSMUSG00000020573","Pik3cg"
"32","Acadvl","MITOCHONDRIA","ENSMUSG00000018574","Acadvl"
"33","Adcy1","MITOCHONDRIA","ENSMUSG00000020431","Adcy1"
"34","Adcy3","MITOCHONDRIA","ENSMUSG00000020654","Adcy3"
"35","Ambra","MITOCHONDRIA","ENSMUSG00000040506","Ambra1"
"36","Bag3","MITOCHONDRIA","ENSMUSG00000030847","Bag3"
"37","Cpt1a","MITOCHONDRIA","ENSMUSG00000024900","Cpt1a"
"38","Dnm1l","MITOCHONDRIA","ENSMUSG00000022789","Dnm1l"
"39","Irgm1","MITOCHONDRIA","ENSMUSG00000046879","Irgm1"
"40","Irgm2","MITOCHONDRIA","ENSMUSG00000069874","Irgm2"
"41","Lrb","MITOCHONDRIA","ENSMUSG00000028080","Lrba"
"42","March5","MITOCHONDRIA","ENSMUSG00000023307","March5"
"43","Mff","MITOCHONDRIA","ENSMUSG00000026150","Mff"
"44","Mpv17l","MITOCHONDRIA","ENSMUSG00000022679","Mpv17l"
"45","Nol3","MITOCHONDRIA","ENSMUSG00000014776","Nol3"
"46","Ogt","MITOCHONDRIA","ENSMUSG00000034160","Ogt"
"47","Opa1","MITOCHONDRIA","ENSMUSG00000038084","Opa1"
"48","Pdcd5","MITOCHONDRIA","ENSMUSG00000030417","Pdcd5"
"49","Pnpt1","MITOCHONDRIA","ENSMUSG00000020464","Pnpt1"
"50","Spire","MITOCHONDRIA","ENSMUSG00000024533","Spire1"
"51","Timm29","MITOCHONDRIA","ENSMUSG00000048429","1810026J23Rik"
"52","Vps13d","MITOCHONDRIA","ENSMUSG00000020220","Vps13d"
"53","Bcl6","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000022508","Bcl6"
"54","Cd80","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000075122","Cd80"
"55","Dock2","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000020143","Dock2"
"56","Gzmb","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000015437","Gzmb"
"57","Ifng","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000055170","Ifng"
"58","Lax1","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000051998","Lax1"
"59","Myb","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000019982","Myb"
"60","Perf","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000037202","Prf1"
"61","Ptcra","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000036858","Ptcra"
"62","Runx1","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000022952","Runx1"
"63","Tox","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000041272","Tox"
"64","Tspan32","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000000244","Tspan32"
"65","Vsir","NEGATIVE REGULATION OF T CELL ACTIVATION","ENSMUSG00000020101","4632428N05Rik"
